Button			   Date
Science,,,Wed Apr 06 2022 17:14:50 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:14:51 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 17:28:01 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 17:28:14 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:28:19 GMT-0700 (Pacific Daylight Time)
Gamma,,,Wed Apr 06 2022 17:28:25 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:28:26 GMT-0700 (Pacific Daylight Time)
Gamma,,,Wed Apr 06 2022 17:28:27 GMT-0700 (Pacific Daylight Time)
Neutron,,,Wed Apr 06 2022 17:28:28 GMT-0700 (Pacific Daylight Time)
Low Gain Antenna,,,Wed Apr 06 2022 17:28:29 GMT-0700 (Pacific Daylight Time)
Multispectral,,,Wed Apr 06 2022 17:28:30 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 17:28:31 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Wed Apr 06 2022 17:28:32 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Wed Apr 06 2022 17:28:34 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Wed Apr 06 2022 17:28:35 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Wed Apr 06 2022 17:28:36 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 17:28:39 GMT-0700 (Pacific Daylight Time)
Communication,,,Wed Apr 06 2022 17:28:42 GMT-0700 (Pacific Daylight Time)
Xband,,,Wed Apr 06 2022 17:28:43 GMT-0700 (Pacific Daylight Time)
Dsoc,,,Wed Apr 06 2022 17:28:45 GMT-0700 (Pacific Daylight Time)
Spacecraft,,,Wed Apr 06 2022 17:28:48 GMT-0700 (Pacific Daylight Time)
Central Core,,,Wed Apr 06 2022 17:28:51 GMT-0700 (Pacific Daylight Time)
Dimensions,,,Wed Apr 06 2022 17:28:53 GMT-0700 (Pacific Daylight Time)
Fun Facts,,,Wed Apr 06 2022 17:28:54 GMT-0700 (Pacific Daylight Time)
Materials,,,Wed Apr 06 2022 17:28:54 GMT-0700 (Pacific Daylight Time)
3D Model,,,Wed Apr 06 2022 17:28:57 GMT-0700 (Pacific Daylight Time)
Astroid,,,Wed Apr 06 2022 17:28:57 GMT-0700 (Pacific Daylight Time)
Spacecraft Model,,,Wed Apr 06 2022 17:29:47 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 17:45:10 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:45:18 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 17:48:58 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:49:07 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 17:49:13 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 17:49:19 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:49:20 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 17:49:21 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Wed Apr 06 2022 17:49:22 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Wed Apr 06 2022 17:49:28 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Wed Apr 06 2022 17:49:32 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Wed Apr 06 2022 17:49:36 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Wed Apr 06 2022 17:50:10 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 17:50:33 GMT-0700 (Pacific Daylight Time)
Magnetometer,,,Wed Apr 06 2022 17:50:34 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 17:50:40 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Wed Apr 06 2022 17:50:46 GMT-0700 (Pacific Daylight Time)
Star Trackers,,,Wed Apr 06 2022 17:50:49 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Wed Apr 06 2022 17:50:52 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Wed Apr 06 2022 17:50:56 GMT-0700 (Pacific Daylight Time)
Communication,,,Wed Apr 06 2022 17:51:00 GMT-0700 (Pacific Daylight Time)
Spacecraft,,,Wed Apr 06 2022 17:51:05 GMT-0700 (Pacific Daylight Time)
Central Core,,,Wed Apr 06 2022 17:51:08 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 17:51:54 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 17:52:50 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 17:57:02 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 17:57:22 GMT-0700 (Pacific Daylight Time)
3D Model,,,Wed Apr 06 2022 17:57:29 GMT-0700 (Pacific Daylight Time)
Astroid,,,Wed Apr 06 2022 17:57:33 GMT-0700 (Pacific Daylight Time)
Spacecraft Model,,,Wed Apr 06 2022 17:57:40 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 17:58:23 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 17:58:50 GMT-0700 (Pacific Daylight Time)
3D Model,,,Wed Apr 06 2022 17:58:58 GMT-0700 (Pacific Daylight Time)
Astroid,,,Wed Apr 06 2022 17:59:04 GMT-0700 (Pacific Daylight Time)
Astroid,,,Wed Apr 06 2022 18:00:17 GMT-0700 (Pacific Daylight Time)
Spacecraft Model,,,Wed Apr 06 2022 18:00:47 GMT-0700 (Pacific Daylight Time)
Astroid,,,Wed Apr 06 2022 18:01:01 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 18:03:35 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 18:03:38 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 18:03:47 GMT-0700 (Pacific Daylight Time)
3D Model,,,Wed Apr 06 2022 18:03:52 GMT-0700 (Pacific Daylight Time)
Astroid,,,Wed Apr 06 2022 18:03:54 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 18:04:55 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 18:05:33 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 18:05:45 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 18:06:01 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Wed Apr 06 2022 18:06:06 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 18:06:21 GMT-0700 (Pacific Daylight Time)
Science,,,Wed Apr 06 2022 18:06:23 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 18:06:43 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Wed Apr 06 2022 18:06:47 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 18:06:51 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 18:07:22 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Wed Apr 06 2022 18:07:25 GMT-0700 (Pacific Daylight Time)
Sun Sensors,,,Wed Apr 06 2022 18:07:29 GMT-0700 (Pacific Daylight Time)
SP Thruster,,,Wed Apr 06 2022 18:07:32 GMT-0700 (Pacific Daylight Time)
Communication,,,Wed Apr 06 2022 18:07:36 GMT-0700 (Pacific Daylight Time)
Video,,,Wed Apr 06 2022 18:07:41 GMT-0700 (Pacific Daylight Time)
Navigation,,,Wed Apr 06 2022 18:09:06 GMT-0700 (Pacific Daylight Time)
Cold Gas Thrusters,,,Wed Apr 06 2022 18:09:10 GMT-0700 (Pacific Daylight Time)
